1	1647
2	1795
3	1942
4	2087
5	2232
6	2374
7	2512
8	2646
9	2782
10	2913
11	3053
12	3189
13	3257
14	3326
15	3465
16	3603
17	3753
18	3897
19	4041
20	4184
21	4327
22	4473
23	4618
24	4759
25	4903
26	5051
27	5198
28	5343
29	5488
30	5630
31	5768
32	5902
33	6038
34	6169
35	6309
36	6445
37	6513
38	6582
39	6721
40	6859
41	7009
42	7153
43	7297
44	7440
45	7583
46	7729
47	7874
48	8015
49	8159
50	8307
51	8454
52	8599
53	8744
54	8886
55	9024
56	9158
57	9294
58	9425
59	9565
60	9701
61	9769
62	9838
63	9977
64	10115
65	10265
66	10409
67	10553
68	10696
69	10839
70	10985
71	11130
72	11271
73	11415
74	11563
75	11710
76	11855
77	12000
78	12142
79	12280
80	12414
81	12550
82	12681
83	12821
84	12957
85	13025
86	13094
87	13233
88	13371
89	13521
90	13665
91	13809
92	13952
93	14095
94	14241
95	14386
96	14527
97	14671
98	14819
99	14966
100	15111
101	15256
102	15398
103	15536
104	15670
105	15806
106	15937
107	16077
